customer_id,customer_name,city,state,customer_status,order_id,order_value,product_name,product_category,order_date,order_status,promotion_applied,payment_details,name_on_payment,seller_id,seller_name,seller_city,seller_rating
CUST10340,Kiaan Sridhar,Malda,Telangana,active,ORD101116,25404.9,Puzzle,Toys & Games,2025-02-01 18:21:14,fulfilled,no,Credit Card,Kiaan Sridhar,SELL1019,Koshy Ltd Retail,Malda,3.5
CUST10188,Bhavna Muni,Vasai-Virar,Odisha,new,ORD101368,4763.55,Formal Shoes,Footwear,2024-07-03 04:40:46,fulfilled,no,Cash,Bhavna Muni,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10133,William Rajagopal,Bulandshahr,Arunachal Pradesh,active,ORD100422,30306.58,Face Cream,Beauty,2024-09-04 14:57:35,fulfilled,no,Credit Card,William Rajagopal,SELL1009,Memon Ltd Retail,Gangtok,3.5
CUST10217,Yashica Rajagopalan,Amaravati,Nagaland,new,ORD100413,26000.39,Hair Oil,Beauty,2024-08-19 09:00:46,fulfilled,no,Cash,Yashica Rajagopalan,SELL1013,Loke Ltd Retail,Narasaraopet,3.8
CUST10282,Zashil Hegde,Cuttack,Rajasthan,new,ORD100451,20262.24,Mixer Grinder,Home & Kitchen,2025-04-30 06:55:24,returned,yes,UPI,Zashil Hegde,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10175,Oviya Vora,Rajkot,Meghalaya,active,ORD100861,21049.61,Building Blocks,Toys & Games,2025-05-11 15:12:15,processing,yes,Cash,Oviya Vora,SELL1019,Koshy Ltd Retail,Rajkot,3.5
CUST10071,Rajata Sunder,Pali,Karnataka,active,ORD101063,9316.35,Laptop,Electronics,2024-07-03 03:58:27,fulfilled,no,Cash,Rajata Sunder,SELL1008,"Lalla, Bassi and Sharaf Retail",Pali,4.1
CUST10171,Tarak Kaul,Siliguri,Uttar Pradesh,dormant,ORD100741,11666.73,Sneakers,Footwear,2024-09-04 02:44:25,fulfilled,no,Cash,Tarak Kaul,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10205,Pushti Ravel,Ramagundam,Bihar,active,ORD101272,27794.61,Dumbbells,Sports,2025-11-02 03:18:32,fulfilled,yes,UPI,Pushti Ravel,SELL1020,Rastogi-Pathak Retail,Ramagundam,4.7
CUST10139,Edhitha Sura,Tadipatri,Assam,dormant,ORD100259,3674.65,Jacket,Fashion,2024-11-24 12:31:43,fulfilled,no,Cash,Edhitha Sura,SELL1016,Balay LLC Retail,Agartala,3.8
CUST10328,Baljiwan Andra,Tezpur,Punjab,active,ORD100888,10471.99,Perfume,Beauty,2025-04-01 06:52:13,returned,no,Cash,Baljiwan Andra,SELL1007,Rai Inc Retail,Hapur,3.6
CUST10089,Qabil Sura,Raichur,Uttar Pradesh,new,ORD101432,38293.3,Ring,Jewelry,2025-08-30 11:01:31,lost_parcel,no,Credit Card,Qabil Sura,SELL1013,Loke Ltd Retail,Raichur,3.8
CUST10041,Gaurangi Sabharwal,Shimoga,Goa,active,ORD100712,37763.32,Bracelet,Jewelry,2026-01-06 08:53:38,fulfilled,no,Cash,Gaurangi Sabharwal,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10360,Timothy Sachdev,Panipat,Arunachal Pradesh,dormant,ORD101382,42617.8,Doll,Toys & Games,2025-08-05 05:44:50,fulfilled,yes,Cash,Timothy Sachdev,SELL1007,Rai Inc Retail,Panipat,3.6
CUST10138,Hamsini Rao,Ozhukarai,West Bengal,new,ORD100070,42737.27,Earphones,Mobile Accessories,2025-02-01 20:15:32,lost_parcel,yes,Credit Card,Hamsini Rao,SELL1018,"Tata, Randhawa and Shanker Retail",Bilaspur,4.7
CUST10330,Krish Thaman,Darbhanga,Gujarat,dormant,ORD101268,12285.34,Face Wash,Beauty,2024-11-01 02:50:45,fulfilled,no,UPI,Krish Thaman,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10006,Noah Lanka,Rajpur Sonarpur,Nagaland,new,ORD101491,19991.15,Face Wash,Beauty,2025-12-05 20:47:54,fulfilled,no,Credit Card,Noah Lanka,SELL1016,Balay LLC Retail,Rajpur Sonarpur,3.8
CUST10260,Panini Brar,Madanapalle,Uttarakhand,active,ORD100607,24401.65,Sandals,Footwear,2025-11-14 19:27:33,fulfilled,yes,UPI,Panini Brar,SELL1019,Koshy Ltd Retail,Madanapalle,3.5
