customer_id,customer_name,city,state,customer_status,order_id,order_value,product_name,product_category,order_date,order_status,promotion_applied,seller_id,seller_name,seller_city,seller_rating
CUST10536,Finn Chanda,Khandwa,Chhattisgarh,new,ORD101178,6550.66,Bracelet,Jewelry,2025-05-25 10:45:47,fulfilled,yes,SELL1010,Boase Inc Retail,Ramagundam,3.8
CUST10102,Januja Ramanathan,Bathinda,Uttar Pradesh,inactive,ORD100865,40604.12,Charger,Mobile Accessories,2026-03-20 03:04:50,processing,no,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10482,Aishani Hora,Raipur,Nagaland,new,ORD100101,44863.46,Doll,Toys & Games,2024-11-11 03:30:51,fulfilled,no,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10577,Jack Setty,Tirupati,Sikkim,active,ORD100439,6923.68,Sneakers,Footwear,2025-12-17 14:55:53,returned,no,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10476,Vedhika Khare,Gandhidham,Assam,new,ORD100058,41310.83,Jacket,Fashion,2025-11-25 18:12:10,processing,no,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10160,Bhavani Dube,Bihar Sharif,Meghalaya,dormant,ORD101120,21340.36,Doll,Toys & Games,2026-02-01 18:21:24,fulfilled,no,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10076,Daksh Dey,Muzaffarpur,Uttarakhand,dormant,ORD100323,11594.12,Bed Sheet,Home & Kitchen,2026-05-02 07:38:28,processing,no,SELL1012,Patla-Gaba Retail,Raichur,3.5
CUST10048,Mahika Gola,Solapur,Bihar,new,ORD100974,22040.02,Football,Sports,2024-09-25 12:13:38,lost_parcel,yes,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10317,Vrishti Dhar,Vijayanagaram,Madhya Pradesh,inactive,ORD100411,25470.53,Perfume,Beauty,2025-05-06 14:29:56,fulfilled,yes,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10159,Arin Muni,Pondicherry,Gujarat,inactive,ORD100855,15511.34,Mixer Grinder,Home & Kitchen,2024-10-17 02:04:24,returned,yes,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10727,Frederick Viswanathan,Sasaram,Punjab,new,ORD100820,22033.83,Charger,Mobile Accessories,2024-09-21 17:30:30,fulfilled,no,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10286,Chaitanya Sarin,Saharsa,Uttar Pradesh,active,ORD100044,10263.91,Perfume,Beauty,2025-07-12 18:14:06,processing,no,SELL1010,Boase Inc Retail,Ramagundam,3.8
CUST10128,Ekanta Shroff,Mango,Sikkim,new,ORD100049,42714.64,Football,Sports,2024-11-02 12:26:43,fulfilled,no,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
CUST10383,Chasmum Gill,Dindigul,Uttar Pradesh,active,ORD100849,28371.05,Bracelet,Jewelry,2024-06-18 13:51:23,returned,yes,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10403,Azaan Dhar,Visakhapatnam,Chhattisgarh,new,ORD100240,14959.4,Sandals,Footwear,2024-07-11 18:04:59,fulfilled,no,SELL1005,Ahuja-Dutta Retail,Mau,4.5
CUST10778,Charan Mani,Nagercoil,Bihar,active,ORD100170,11741.04,Cookware Set,Home & Kitchen,2025-08-12 09:56:40,fulfilled,no,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10396,Charita Savant,Agartala,Telangana,new,ORD100523,43162.65,Badminton Racket,Sports,2025-04-09 05:58:09,fulfilled,no,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10792,Nakul Walla,Nagercoil,Karnataka,inactive,ORD100765,36163.34,Cookbook,Books,2025-07-21 19:01:18,returned,yes,SELL1014,"Garg, Walla and Konda Retail",Surendranagar Dudhrej,4.5
CUST10200,Sarthak Sachdeva,Ranchi,Karnataka,dormant,ORD100838,30564.41,Saree,Fashion,2025-02-16 02:42:42,fulfilled,yes,SELL1012,Patla-Gaba Retail,Raichur,3.5
