customer_id,customer_name,city,state,customer_status,order_id,order_value,product_name,product_category,order_date,order_status,promotion_applied,payment_details,name_on_payment,seller_id,seller_name,seller_city,seller_rating
CUST10340,Kiaan Sridhar,Malda,Telangana,active,ORD101116,25404.9,Puzzle,Toys & Games,2025-02-03 01:16:41,fulfilled,no,Credit Card,Kiaan Sridhar,SELL1019,Koshy Ltd Retail,Malda,3.5
CUST10188,Bhavna Muni,Vasai-Virar,Odisha,new,ORD101368,4763.55,Formal Shoes,Footwear,2024-07-04 11:36:13,fulfilled,no,Cash,Bhavna Muni,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10133,William Rajagopal,Bulandshahr,Arunachal Pradesh,active,ORD100422,30306.58,Face Cream,Beauty,2024-09-05 21:53:02,fulfilled,no,Credit Card,William Rajagopal,SELL1009,Memon Ltd Retail,Gangtok,3.5
CUST10217,Yashica Rajagopalan,Amaravati,Nagaland,new,ORD100413,26000.39,Hair Oil,Beauty,2024-08-20 15:56:13,fulfilled,no,Cash,Yashica Rajagopalan,SELL1013,Loke Ltd Retail,Narasaraopet,3.8
CUST10282,Zashil Hegde,Cuttack,Rajasthan,new,ORD100451,20262.24,Mixer Grinder,Home & Kitchen,2025-05-01 13:50:51,returned,yes,UPI,Zashil Hegde,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10175,Oviya Vora,Rajkot,Meghalaya,active,ORD100861,21049.61,Building Blocks,Toys & Games,2025-05-12 22:07:42,processing,yes,Cash,Oviya Vora,SELL1019,Koshy Ltd Retail,Rajkot,3.5
CUST10071,Rajata Sunder,Pali,Karnataka,active,ORD101063,9316.35,Laptop,Electronics,2024-07-04 10:53:54,fulfilled,no,Cash,Rajata Sunder,SELL1008,"Lalla, Bassi and Sharaf Retail",Pali,4.1
CUST10171,Tarak Kaul,Siliguri,Uttar Pradesh,dormant,ORD100741,11666.73,Sneakers,Footwear,2024-09-05 09:39:52,fulfilled,no,Cash,Tarak Kaul,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10205,Pushti Ravel,Ramagundam,Bihar,active,ORD101272,27794.61,Dumbbells,Sports,2025-11-03 10:13:59,fulfilled,yes,UPI,Pushti Ravel,SELL1020,Rastogi-Pathak Retail,Ramagundam,4.7
CUST10139,Edhitha Sura,Tadipatri,Assam,dormant,ORD100259,3674.65,Jacket,Fashion,2024-11-25 19:27:10,fulfilled,no,Cash,Edhitha Sura,SELL1016,Balay LLC Retail,Agartala,3.8
